gen_tokens,mode,step_idx,median_ms,p95_ms,std_ms
64,fp16_static_compiled_attn_only,12,35.935155,36.969859,0.72486
64,fp16_static_compiled_attn_only,13,38.350927,39.498172,1.627338
64,fp16_static_compiled_attn_only,14,37.349267,39.038259,1.289812
64,fp16_static_compiled_attn_only,15,36.125696,40.148062,2.109829
64,fp16_static_compiled_attn_only,16,38.264467,42.820556,2.63897
64,fp16_static_compiled_attn_only,17,37.539245,38.539773,1.340458
64,fp16_static_compiled_attn_only,18,36.316459,38.41193,1.241221
64,fp16_static_compiled_attn_only,19,36.724844,37.925603,1.16673
64,fp16_static_compiled_attn_only,20,37.495443,38.797553,1.321292
64,fp16_static_compiled_attn_only,21,36.666593,37.138315,0.663229
64,fp16_static_compiled_attn_only,22,36.272919,37.151251,0.827868
64,fp16_static_compiled_attn_only,23,35.530088,41.458898,2.695839
64,fp16_static_compiled_attn_only,24,37.187052,38.539243,1.004478
64,fp16_static_compiled_attn_only,25,36.176983,38.325312,1.266908
64,fp16_static_compiled_attn_only,26,36.528259,39.767171,1.831657
64,fp16_static_compiled_attn_only,27,35.78726,36.968022,0.675853
64,fp16_static_compiled_attn_only,28,36.142174,39.612511,1.600261
64,fp16_static_compiled_attn_only,29,37.195635,38.298202,0.925316
64,fp16_static_compiled_attn_only,30,36.081021,36.337009,0.539217
64,fp16_static_compiled_attn_only,31,36.811371,37.59681,1.207707
64,fp16_static_compiled_attn_only,32,36.077311,38.491132,1.18951
64,fp16_static_compiled_attn_only,33,36.621471,39.087976,1.534612
64,fp16_static_compiled_attn_only,34,35.931208,40.398851,2.399996
64,fp16_static_compiled_attn_only,35,37.412601,40.384911,1.849827
64,fp16_static_compiled_attn_only,36,35.788506,37.77315,1.172397
64,fp16_static_compiled_attn_only,37,36.074643,38.942549,1.492912
64,fp16_static_compiled_attn_only,38,36.313797,41.751966,2.827084
64,fp16_static_compiled_attn_only,39,36.915456,41.586951,2.518764
64,fp16_static_compiled_attn_only,40,37.117923,44.508064,3.72723
64,fp16_static_compiled_attn_only,41,36.493109,41.414614,2.401436
64,fp16_static_compiled_attn_only,42,36.307646,39.0721,1.513779
64,fp16_static_compiled_attn_only,43,38.743576,38.82204,1.745023
64,fp16_static_compiled_attn_only,44,36.426812,38.545797,1.405807
64,fp16_static_compiled_attn_only,45,36.680733,38.905111,1.283673
64,fp16_static_compiled_attn_only,46,36.10377,38.952511,1.405773
64,fp16_static_compiled_attn_only,47,36.357976,38.252359,1.096847
64,fp16_static_compiled_attn_only,48,36.47187,39.002846,1.40781
64,fp16_static_compiled_attn_only,49,35.951293,44.180485,4.020513
64,fp16_static_compiled_attn_only,50,36.655752,40.153656,1.99742
64,fp16_static_compiled_attn_only,51,36.014486,37.669037,0.956759
64,fp16_static_compiled_attn_only,52,37.754695,41.12041,2.171752
64,fp16_static_compiled_attn_only,53,37.035327,39.272664,1.621692
64,fp16_static_compiled_attn_only,54,36.591021,43.168608,3.192957
64,fp16_static_compiled_attn_only,55,37.467268,46.683732,4.880904
64,fp16_static_compiled_attn_only,56,36.262312,40.614447,2.1357
64,fp16_static_compiled_attn_only,57,36.458568,39.345655,1.861164
64,fp16_static_compiled_attn_only,58,36.370278,37.520949,0.961112
64,fp16_static_compiled_attn_only,59,36.644456,37.93099,0.639686
64,fp16_static_compiled_attn_only,60,36.27256,37.843139,0.815574
64,fp16_static_compiled_attn_only,61,36.040261,38.584042,1.47296
64,fp16_static_compiled_attn_only,62,36.582355,45.439019,4.457124
64,fp16_static_compiled_attn_only,63,36.880305,43.61343,3.535383
64,fp16_static_compiled_attn_only_deltanet,1,37.492511,48.937792,5.817885
64,fp16_static_compiled_attn_only_deltanet,2,35.818634,36.534007,1.070777
64,fp16_static_compiled_attn_only_deltanet,3,34.046812,42.063752,4.076116
64,fp16_static_compiled_attn_only_deltanet,4,34.256092,34.97321,0.663325
64,fp16_static_compiled_attn_only_deltanet,5,34.543472,37.76738,1.908314
64,fp16_static_compiled_attn_only_deltanet,6,35.935735,38.040184,1.288972
64,fp16_static_compiled_attn_only_deltanet,7,33.757054,34.36395,0.4033
64,fp16_static_compiled_attn_only_deltanet,8,34.66742,40.790389,3.085091
64,fp16_static_compiled_attn_only_deltanet,9,34.505833,35.70624,0.719616
64,fp16_static_compiled_attn_only_deltanet,10,34.687849,35.533395,0.930245
64,fp16_static_compiled_attn_only_deltanet,11,34.580254,35.367879,0.844777
64,fp16_static_compiled_attn_only_deltanet,12,33.665034,35.285015,0.935759
64,fp16_static_compiled_attn_only_deltanet,13,33.619937,35.397824,1.251541
